model_id,arch_id,parameters,alpha,epochs,batch_size,activation,window_size,latent_channels,latent_seq_len,train_loss,valid_loss,train_time,mse
CC45:CCC9:6F62:BAD2,068f,13176,0.3,100,32,l1+0.9mse,800,36,400,115.12129139900208,0.0764620371927655,0.0453529847187123,0.0010626604780554
2CB3:B8BF:D0BF:15B2,068f,13176,0.5,100,32,l1+0.9mse,800,36,400,120.12558579444884,0.0452889415907019,0.0263915629891146,0.001022579614073
150B:64C8:A060:5337,068f,13176,0.9,100,32,l1+0.9mse,800,36,400,116.05306720733644,0.0262805045047488,0.0153136020609443,0.0010369888041168
7779:7048:5DDE:AA75,2ec2,26352,0.3,100,32,l1+0.9mse,800,36,200,165.16735911369324,0.0842739370855636,0.0507933498759354,0.0012256600894033
90FD:2357:F7FB:A160,2ec2,26352,0.5,100,32,l1+0.9mse,800,36,200,0.0321089756907895,0.0527436939849323,170.3089895248413,0.0013223205460235
70CB:3E0E:7425:D0F2,2ec2,26352,0.9,100,32,l1+0.9mse,800,36,200,0.0177464622122767,0.029441064580224,163.69908332824707,0.0012502853060141
964D:8D1B:0377:CD4A,11e0,39528,0.3,100,32,l1+0.9mse,800,36,100,0.056523895157235,0.091344981874229,221.7083070278168,0.0014019274385645
230E:E994:F0C8:429F,11e0,39528,0.5,100,32,l1+0.9mse,800,36,100,0.0346297829611493,0.0557032932060529,229.3185019493103,0.0014486541040241
388A:A653:03D7:AD59,11e0,39528,0.9,100,32,l1+0.9mse,800,36,100,0.0191712177391829,0.0312633780839968,231.31812644004825,0.0014041257090866
F356:0286:0BDB:DE98,3f20,52704,0.3,100,32,l1+0.9mse,800,36,50,0.0590387476009449,0.0953842123046104,285.60170817375183,0.0015456416876986
5C6E:E552:64CA:1491,3f20,52704,0.5,100,32,l1+0.9mse,800,36,50,0.0358163370318444,0.0582416895307806,290.4939441680908,0.0015081807505339
F3CB:F27E:7494:1DD7,3f20,52704,0.9,100,32,l1+0.9mse,800,36,50,0.020833000557364,0.0328651192863131,292.45884013175964,0.0016254343790933
79A6:D2E1:6302:01A1,38eb,65880,0.3,100,32,l1+0.9mse,800,36,25,0.0622437224789921,0.0987581362389497,377.3015778064728,0.001683076377958
8636:1A5C:CCDF:ED29,38eb,65880,0.5,100,32,l1+0.9mse,800,36,25,0.0382438887442861,0.0602548940609249,354.18536734580994,0.001909012789838
8344:9D83:373D:B614,38eb,65880,0.9,100,32,l1+0.9mse,800,36,25,0.020733976720034,0.0336920369465739,359.8972716331482,0.0017949672183021
7ECD:7D12:CCDF:ACB6,4fb9,6642,0.3,100,32,l1+0.9mse,800,18,800,0.0495697744523308,0.0818680213525028,116.15611505508424,0.0011756723979488
46ED:338D:4446:2A5E,4fb9,6642,0.5,100,32,l1+0.9mse,800,18,800,0.0295948274433612,0.0485559001128642,116.30234384536745,0.0011328438995406
1E10:500B:C754:007E,4fb9,6642,0.9,100,32,l1+0.9mse,800,18,800,0.0157602804080982,0.0267374772257089,114.09005522727966,0.0010582058457657
281E:CE10:A719:C03F,075b,8343,0.3,100,32,l1+0.9mse,800,9,800,0.0527999220482472,0.0878854785912133,156.96322870254517,0.0012872779043391
A633:CD85:C46A:3C27,075b,8343,0.5,100,32,l1+0.9mse,800,9,800,0.0323716618752639,0.0530650114631209,161.52165412902832,0.0013141622766852
7F5A:642D:9C7A:B4F1,075b,8343,0.9,100,32,l1+0.9mse,800,9,800,0.0184142080168905,0.0306512973170436,163.9752106666565,0.0013764090836048
5D48:C704:EF61:C069,cc9f,8835,0.3,100,32,l1+0.9mse,800,5,800,0.0574116734122591,0.0936888045905819,204.13965892791748,0.0014971329364925
E16E:BA3B:ECE2:79A2,cc9f,8835,0.5,100,32,l1+0.9mse,800,5,800,0.0343123507419867,0.0560891398883211,206.36072039604187,0.0014790270943194
F72D:DA3C:E5A8:31C0,cc9f,8835,0.9,100,32,l1+0.9mse,800,5,800,0.0189974887180142,0.0316360010308042,207.76752614974976,0.0015505586052313
19B7:F15F:860B:D494,9df3,8956,0.3,100,32,l1+0.9mse,800,2,800,0.0595563029803867,0.098109231196738,250.1281261444092,0.001620725961402
A807:55B7:1F8A:9ABC,9df3,8956,0.5,100,32,l1+0.9mse,800,2,800,0.0418976500430809,0.063233961937691,257.4952938556671,0.0022380833979696
5EA7:EBF0:B696:F261,9df3,8956,0.9,100,32,l1+0.9mse,800,2,800,0.0204294863256758,0.0340149047578068,261.8455502986908,0.0018267165869474
6A75:AE36:26AA:9284,5b05,8985,0.3,100,32,l1+0.9mse,800,1,800,0.0678897118528506,0.1185890479665484,316.1017980575561,0.0028671589680016
4B9D:49EE:6524:3B67,5b05,8985,0.5,100,32,l1+0.9mse,800,1,800,0.0394733796461618,0.066905099631144,324.5436112880707,0.003010542364791
6AF6:39A3:67DB:4278,5b05,8985,0.9,100,32,l1+0.9mse,800,1,800,0.0214457661578697,0.0358570089190729,319.6344163417816,0.00210722372867167
