model_id,arch_id,ridge,rfc
CA5B:E21B:71ED:3A1C,a61c,0.6938389720041791,0.6959493182945377
['CA5B:E21B:71ED:3A1C'],['a61c'],[0.7110192665170125],[0.7021284830790638]
"['CA5B:E21B:71ED:3A1C', 'F06D:D524:BFD6:232E']","['a61c', 'a61c']","[0.7110192665170125, 0.6924617376851616]","[0.7021284830790638, 0.6922920265274463]"
"['CA5B:E21B:71ED:3A1C', 'F06D:D524:BFD6:232E', 'D86A:2185:C32B:7239']","['a61c', 'a61c', 'a61c']","[0.7110192665170125, 0.6924617376851616, 0.7151620942721458]","[0.7021284830790638, 0.6922920265274463, 0.7505840089329829]"
"['CA5B:E21B:71ED:3A1C', 'F06D:D524:BFD6:232E', 'D86A:2185:C32B:7239', 'A3B3:8C1F:43AC:7718']","['a61c', 'a61c', 'a61c', 'a61c']","[0.7110192665170125, 0.6924617376851616, 0.7151620942721458, 0.7818745755406545]","[0.7021284830790638, 0.6922920265274463, 0.7505840089329829, 0.7794797915638836]"
"['CA5B:E21B:71ED:3A1C', 'F06D:D524:BFD6:232E', 'D86A:2185:C32B:7239', 'A3B3:8C1F:43AC:7718', 'B4AD:31CC:3620:B782']","['a61c', 'a61c', 'a61c', 'a61c', 'a61c']","[0.7110192665170125, 0.6924617376851616, 0.7151620942721458, 0.7818745755406545, 0.8038524219339577]","[0.7021284830790638, 0.6922920265274463, 0.7505840089329829, 0.7794797915638836, 0.7988320371501936]"
"['CA5B:E21B:71ED:3A1C', 'F06D:D524:BFD6:232E', 'D86A:2185:C32B:7239', 'A3B3:8C1F:43AC:7718', 'B4AD:31CC:3620:B782', '7547:B8DA:C870:507A']","['a61c', 'a61c', 'a61c', 'a61c', 'a61c', '8c49']","[0.7110192665170125, 0.6924617376851616, 0.7151620942721458, 0.7818745755406545, 0.8038524219339577, 0.7721093012734546]","[0.7021284830790638, 0.6922920265274463, 0.7505840089329829, 0.7794797915638836, 0.7988320371501936, 0.737537609238104]"
"['CA5B:E21B:71ED:3A1C', 'F06D:D524:BFD6:232E', 'D86A:2185:C32B:7239', 'A3B3:8C1F:43AC:7718', 'B4AD:31CC:3620:B782', '7547:B8DA:C870:507A', '829C:AF16:5D58:E61C']","['a61c', 'a61c', 'a61c', 'a61c', 'a61c', '8c49', '8c49']","[0.7110192665170125, 0.6924617376851616, 0.7151620942721458, 0.7818745755406545, 0.8038524219339577, 0.7721093012734546, 0.7372345657700935]","[0.7021284830790638, 0.6922920265274463, 0.7505840089329829, 0.7794797915638836, 0.7988320371501936, 0.737537609238104, 0.7209309998856032]"
"['CA5B:E21B:71ED:3A1C', 'F06D:D524:BFD6:232E', 'D86A:2185:C32B:7239', 'A3B3:8C1F:43AC:7718', 'B4AD:31CC:3620:B782', '7547:B8DA:C870:507A', '829C:AF16:5D58:E61C', 'C019:A640:74EF:D675']","['a61c', 'a61c', 'a61c', 'a61c', 'a61c', '8c49', '8c49', '8c49']","[0.7110192665170125, 0.6924617376851616, 0.7151620942721458, 0.7818745755406545, 0.8038524219339577, 0.7721093012734546, 0.7372345657700935, 0.8250438521854134]","[0.7021284830790638, 0.6922920265274463, 0.7505840089329829, 0.7794797915638836, 0.7988320371501936, 0.737537609238104, 0.7209309998856032, 0.7788847949448384]"
"['CA5B:E21B:71ED:3A1C', 'F06D:D524:BFD6:232E', 'D86A:2185:C32B:7239', 'A3B3:8C1F:43AC:7718', 'B4AD:31CC:3620:B782', '7547:B8DA:C870:507A', '829C:AF16:5D58:E61C', 'C019:A640:74EF:D675', '102E:5B5E:C956:FD77']","['a61c', 'a61c', 'a61c', 'a61c', 'a61c', '8c49', '8c49', '8c49', '8c49']","[0.7110192665170125, 0.6924617376851616, 0.7151620942721458, 0.7818745755406545, 0.8038524219339577, 0.7721093012734546, 0.7372345657700935, 0.8250438521854134, 0.8532663691555562]","[0.7021284830790638, 0.6922920265274463, 0.7505840089329829, 0.7794797915638836, 0.7988320371501936, 0.737537609238104, 0.7209309998856032, 0.7788847949448384, 0.8097567815913994]"
"['CA5B:E21B:71ED:3A1C', 'F06D:D524:BFD6:232E', 'D86A:2185:C32B:7239', 'A3B3:8C1F:43AC:7718', 'B4AD:31CC:3620:B782', '7547:B8DA:C870:507A', '829C:AF16:5D58:E61C', 'C019:A640:74EF:D675', '102E:5B5E:C956:FD77', 'D9F2:0A27:942A:1DA0']","['a61c', 'a61c', 'a61c', 'a61c', 'a61c', '8c49', '8c49', '8c49', '8c49', '3c38']","[0.7110192665170125, 0.6924617376851616, 0.7151620942721458, 0.7818745755406545, 0.8038524219339577, 0.7721093012734546, 0.7372345657700935, 0.8250438521854134, 0.8532663691555562, 0.7820003417241164]","[0.7021284830790638, 0.6922920265274463, 0.7505840089329829, 0.7794797915638836, 0.7988320371501936, 0.737537609238104, 0.7209309998856032, 0.7788847949448384, 0.8097567815913994, 0.7465514413196874]"
"['CA5B:E21B:71ED:3A1C', 'F06D:D524:BFD6:232E', 'D86A:2185:C32B:7239', 'A3B3:8C1F:43AC:7718', 'B4AD:31CC:3620:B782', '7547:B8DA:C870:507A', '829C:AF16:5D58:E61C', 'C019:A640:74EF:D675', '102E:5B5E:C956:FD77', 'D9F2:0A27:942A:1DA0', '4E09:4C41:54E0:9BF9']","['a61c', 'a61c', 'a61c', 'a61c', 'a61c', '8c49', '8c49', '8c49', '8c49', '3c38', '4f90']","[0.7110192665170125, 0.6924617376851616, 0.7151620942721458, 0.7818745755406545, 0.8038524219339577, 0.7721093012734546, 0.7372345657700935, 0.8250438521854134, 0.8532663691555562, 0.7820003417241164, 0.7471833262248201]","[0.7021284830790638, 0.6922920265274463, 0.7505840089329829, 0.7794797915638836, 0.7988320371501936, 0.737537609238104, 0.7209309998856032, 0.7788847949448384, 0.8097567815913994, 0.7465514413196874, 0.6990614956662523]"
